"행정구역","2024년09월_계_총인구수","2024년09월_계_연령구간인구수","2024년09월_계_0~9세","2024년09월_계_10~19세","2024년09월_계_20~29세","2024년09월_계_30~39세","2024년09월_계_40~49세","2024년09월_계_50~59세","2024년09월_계_60~69세","2024년09월_계_70~79세","2024년09월_계_80~89세","2024년09월_계_90~99세","2024년09월_계_100세 이상","2024년09월_남_총인구수","2024년09월_남_연령구간인구수","2024년09월_남_0~9세","2024년09월_남_10~19세","2024년09월_남_20~29세","2024년09월_남_30~39세","2024년09월_남_40~49세","2024년09월_남_50~59세","2024년09월_남_60~69세","2024년09월_남_70~79세","2024년09월_남_80~89세","2024년09월_남_90~99세","2024년09월_남_100세 이상","2024년09월_여_총인구수","2024년09월_여_연령구간인구수","2024년09월_여_0~9세","2024년09월_여_10~19세","2024년09월_여_20~29세","2024년09월_여_30~39세","2024년09월_여_40~49세","2024년09월_여_50~59세","2024년09월_여_60~69세","2024년09월_여_70~79세","2024년09월_여_80~89세","2024년09월_여_90~99세","2024년09월_여_100세 이상"
"서울특별시 성동구 성수2가제1동(1120067000)","14,282","14,282","529","710","1,735","2,385","1,810","2,456","2,783","1,247","557","70","0","7,382","7,382","278","351","882","1,277","965","1,280","1,506","589","235","19","0","6,900","6,900","251","359","853","1,108","845","1,176","1,277","658","322","51","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,787","9,787","411","500","1,500","1,851","1,314","1,499","1,453","796","417","44","2","4,880","4,880","227","265","707","895","677","762","769","388","172","17","1","4,907","4,907","184","235","793","956","637","737","684","408","245","27","1"
"서울특별시 성동구 송정동(1120072000)","9,572","9,572","336","471","1,375","1,576","1,285","1,643","1,682","818","340","44","2","5,017","5,017","194","242","688","855","710","889","899","391","132","17","0","4,555","4,555","142","229","687","721","575","754","783","427","208","27","2"
"서울특별시 성동구 용답동(1120079000)","12,113","12,113","259","489","2,687","2,250","1,353","1,857","1,632","964","555","65","2","6,228","6,228","138","251","1,183","1,178","767","1,100","916","440","234","20","1","5,885","5,885","121","238","1,504","1,072","586","757","716","524","321","45","1"
"서울특별시 광진구 (1121500000)","333,403","333,403","14,298","23,306","57,605","55,235","46,915","52,655","46,035","24,366","11,396","1,541","51","159,948","159,948","7,297","11,773","26,670","27,520","22,956","25,506","21,995","11,114","4,671","432","14","173,455","173,455","7,001","11,533","30,935","27,715","23,959","27,149","24,040","13,252","6,725","1,109","37"
"서울특별시 광진구 화양동(1121571000)","23,130","23,130","292","674","10,159","4,835","1,985","1,927","1,609","1,079","511","57","2","10,905","10,905","152","290","4,326","2,499","1,050","1,065","795","484","226","18","0","12,225","12,225","140","384","5,833","2,336","935","862","814","595","285","39","2"
"서울특별시 광진구 군자동(1121573000)","18,868","18,868","603","940","4,114","3,460","2,407","2,572","2,561","1,429","708","70","4","9,274","9,274","315","499","1,962","1,795","1,213","1,291","1,230","664","290","15","0","9,594","9,594","288","441","2,152","1,665","1,194","1,281","1,331","765","418","55","4"
"서울특별시 광진구 중곡제1동(1121574000)","15,125","15,125","496","642","2,720","3,073","1,924","2,304","2,171","1,164","561","69","1","7,164","7,164","257","351","1,095","1,501","1,028","1,115","1,025","548","228","16","0","7,961","7,961","239","291","1,625","1,572","896","1,189","1,146","616","333","53","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,253","20,253","768","1,217","3,223","3,603","2,726","3,265","3,054","1,658","670","69","0","9,531","9,531","395","624","1,450","1,752","1,348","1,495","1,434","719","297","17","0","10,722","10,722","373","593","1,773","1,851","1,378","1,770","1,620","939","373","52","0"
"서울특별시 광진구 중곡제3동(1121576000)","15,432","15,432","537","754","2,251","2,723","1,946","2,594","2,570","1,371","628","58","0","7,624","7,624","282","388","1,073","1,448","1,030","1,272","1,259","597","255","20","0","7,808","7,808","255","366","1,178","1,275","916","1,322","1,311","774","373","38","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,426","27,426","960","1,607","3,743","4,149","3,422","5,017","4,791","2,533","1,071","127","6","13,354","13,354","505","834","1,896","2,148","1,727","2,330","2,269","1,172","444","26","3","14,072","14,072","455","773","1,847","2,001","1,695","2,687","2,522","1,361","627","101","3"
"서울특별시 광진구 능동(1121578000)","10,986","10,986","414","484","2,151","2,461","1,605","1,434","1,276","756","369","36","0","5,058","5,058","212","242","933","1,119","765","687","584","339","166","11","0","5,928","5,928","202","242","1,218","1,342","840","747","692","417","203","25","0"
"서울특별시 광진구 광장동(1121581000)","33,891","33,891","2,351","5,273","3,799","3,364","6,698","6,073","3,594","1,635","917","182","5","16,351","16,351","1,200","2,696","1,900","1,524","2,990","3,045","1,777","809","349","59","2","17,540","17,540","1,151","2,577","1,899","1,840","3,708","3,028","1,817","826","568","123","3"
"서울특별시 광진구 자양제1동(1121582000)","21,789","21,789","667","1,350","3,911","3,834","3,036","3,372","3,090","1,615","817","96","1","10,584","10,584","342","712","1,909","1,995","1,499","1,630","1,478","675","325","19","0","11,205","11,205","325","638","2,002","1,839","1,537","1,742","1,612","940","492","77","1"
"서울특별시 광진구 자양제2동(1121583000)","23,553","23,553","1,145","1,622","3,139","3,789","3,440","3,879","3,718","1,903","800","112","6","11,397","11,397","575","821","1,564","1,910","1,676","1,829","1,749","900","339","31","3","12,156","12,156","570","801","1,575","1,879","1,764","2,050","1,969","1,003","461","81","3"
"서울특별시 광진구 자양제3동(1121584000)","27,117","27,117","1,839","2,374","3,420","3,831","4,148","4,540","3,897","1,891","961","208","8","12,962","12,962","946","1,163","1,685","1,829","1,949","2,174","1,849","899","396","69","3","14,155","14,155","893","1,211","1,735","2,002","2,199","2,366","2,048","992","565","139","5"
"서울특별시 광진구 자양제4동(1121584700)","19,677","19,677","701","857","3,143","3,433","2,473","3,145","3,192","1,818","801","111","3","9,687","9,687","352","414","1,460","1,823","1,262","1,619","1,591","821","314","30","1","9,990","9,990","349","443","1,683","1,610","1,211","1,526","1,601","997","487","81","2"
"서울특별시 광진구 구의제1동(1121585000)","22,987","22,987","792","1,159","4,723","4,546","3,152","3,465","2,845","1,483","728","89","5","10,928","10,928","396","568","2,111","2,277","1,602","1,677","1,324","649","296","28","0","12,059","12,059","396","591","2,612","2,269","1,550","1,788","1,521","834","432","61","5"
