hpid1,hpid2,travel_time,측정시각
A1300018,A1300005,22.8884,241031_003737
A1300018,A1300006,25.7014,241031_003737
A1300018,A1300007,26.6423,241031_003737
A1300018,A1300008,15.6475,241031_003737
A1300018,A1300009,8.8916,241031_003737
A1300018,A1300010,20.0093,241031_003737
A1300018,A1300011,25.0752,241031_003737
A1300018,A1300033,12.8717,241031_003737
A1300018,A1300034,21.9465,241031_003737
A1300018,A1300038,28.133,241031_003737
A1300018,A1300045,24.4916,241031_003737
A1300018,A1300076,22.3863,241031_003737
A1300018,A1300081,14.7128,241031_003737
A1300018,A1300110,26.1327,241031_003737
A1300018,A1303386,20.3438,241031_003737
A1300018,A1303449,38.7123,241031_003737
A1300018,A2700001,76.5639,241031_003737
A1300018,A2700002,58.8263,241031_003737
A1300018,A2700003,50.5735,241031_003737
A1300018,A2700004,74.9084,241031_003737
A1300018,A2700005,57.2904,241031_003737
A1300018,A2700006,78.5859,241031_003737
A1300018,A2700007,43.2719,241031_003737
A1300018,A2700008,51.5842,241031_003737
A1300018,A2700009,70.0705,241031_003737
A1300018,A2700011,72.87,241031_003737
A1300018,A2700012,58.3108,241031_003737
A1300018,A2700013,40.8961,241031_003737
A1300018,A2700014,70.4377,241031_003737
A1300018,A2700015,47.0245,241031_003737
A1300018,A2700016,55.0971,241031_003737
A1300018,A2700017,35.3701,241031_003737
A1300018,A2700018,57.8891,241031_003737
A1300018,A2700019,21.3518,241031_003737
A1300018,A2700020,90.3673,241031_003737
A1300018,A2700023,83.924,241031_003737
A1300018,A2700026,108.136,241031_003737
A1300018,A2700030,42.8387,241031_003737
A1300018,A2700031,91.9044,241031_003737
A1300018,A2700036,19.4298,241031_003737
A1300018,A2700038,26.6578,241031_003737
A1300018,A2700052,150.2404,241031_003737
A1300018,A2700063,68.0321,241031_003737
A1300018,A2700066,32.8352,241031_003737
A1300018,A2700070,44.4,241031_003737
A1300018,A2700071,103.862,241031_003737
A1300018,A2700097,49.5202,241031_003737
A1300018,A2702563,58.996,241031_003737
A1300018,A2702752,90.17,241031_003737
A1300018,E2700553,330.1079,241031_003737
A1300018,E2700554,82.7301,241031_003737
A1300033,A1300001,10.8125,241031_003737
A1300033,A1300002,5.1571,241031_003737
