시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
대구,군위군,삼국유사면,43155,대구광역시 군위군 삼국유사면 삼국유사로 448,삼국유사면행정복지센터,128.7949095,36.1233928,2772037000,1299,A2700017,27.3148,A1300018,48.0724,A1300081,50.047,A1300010,44.5681,20241107_010313
대구,군위군,소보면,43102,대구광역시 군위군 소보면 송백로 1415,소보면행정복지센터,128.4752186,36.2549903,2772031000,2275,A2700063,26.6933,A2700015,33.3918,A2700013,34.4194,A2700013,34.4194,20241107_010314
대구,군위군,우보면,43142,대구광역시 군위군 우보면 이화길 105,우보면행정복지센터,128.661788,36.194985,2772034000,1926,A1300010,33.5624,A1300005,35.257,A1300009,47.3457,A1300009,33.475,20241107_010316
대구,군위군,의흥면,43149,대구광역시 군위군 의흥면 읍내길 39,의흥면행정복지센터,128.7154143,36.1759366,2772035000,2273,A1300010,40.4005,A1300018,52.1226,A1300009,53.296,A1300010,40.4005,20241107_010318
대구,군위군,효령면,43129,대구광역시 군위군 효령면 치산효령로 2400,호령면행정복지센터,128.5854,36.156865,2772032000,3664,A2700015,25.5852,A1300010,26.2249,A1300005,27.9888,A1300009,26.1366,20241107_010320
대구,남구,대명1.0동,42481,대구광역시 남구 대명복개로4길 166,대명10동행정복지센터,128.5689436,35.8399455,2720065000,8334,A1300034,2.8231,A1300004,3.2839,A1300076,6.3351,A1300004,3.2839,20241107_010320
대구,남구,대명1.1동,42497,대구광역시 남구 관문시장4길 53,대명11동행정복지센터,128.5605798,35.8362311,2720066000,7590,A1300034,4.8309,A1300045,5.7399,A1300004,6.8729,A1300004,6.8729,20241107_010321
대구,남구,대명1동,42470,대구광역시 남구 두류공원로 38,대명1동행정복지센터,128.573572,35.8417184,2720056000,9904,A1300034,1.3504,A1300004,1.7637,A1300076,4.8149,A1300004,1.7637,20241107_010321
대구,남구,대명2동,42409,대구광역시 남구 명덕로32길 30,대명2동행정복지센터,128.586625,35.855299,2720057100,11878,A1300001,5.3029,A1303386,5.6107,A1300076,7.391,A1300009,13.0571,20241107_010322
대구,남구,대명3동,42408,대구광역시 남구 명덕로20길 115,대명3동행정복지센터,128.5790477,35.8522949,2720058600,9594,A1300076,3.4307,A1300001,4.0418,A1300034,5.7975,A1300004,5.9353,20241107_010322
대구,남구,대명4동,42460,대구광역시 남구 두류공원로20길 19,대명4동행정복지센터,128.5695253,35.8459699,2720059000,9788,A1300004,3.238,A1300076,3.3581,A1300034,3.6468,A1300004,3.238,20241107_010324
대구,남구,대명5동,42449,대구광역시 남구 대명로58길 11,대명5동행정복지센터,128.587787,35.84319,2720060000,5409,A1300001,3.9851,A1300034,5.7447,A1303386,9.4218,A1300004,7.2235,20241107_010324
대구,남구,대명6동,42494,대구광역시 남구 대명남로 73,대명6동행정복지센터,128.5660381,35.8351195,2720061000,10913,A1300034,5.1819,A1300045,5.9591,A1300004,7.2239,A1300004,7.2239,20241107_010325
대구,남구,대명9동,42488,대구광역시 남구 큰골길 53,대명9동행정복지센터,128.579184,35.8372793,2720064000,13809,A1300034,3.4016,A1300001,3.6089,A1300004,4.8804,A1300004,4.8804,20241107_010325
대구,남구,봉덕1동,42429,대구광역시 남구 봉덕로 51-2,봉덕1동행정복지센터,128.5964247,35.8452937,2720053000,8094,A1300001,3.7279,A1300034,5.3065,A1303386,9.1646,A1300004,6.7853,20241107_010326
대구,남구,봉덕2동,42442,대구광역시 남구 이천로10길 50,봉덕2동행정복지센터,128.6010957,35.8438162,2720054000,13177,A1300001,4.8354,A1300002,7.8157,A1300033,8.1381,A1300009,7.6607,20241107_010327
대구,남구,봉덕3동,42447,대구광역시 남구 중앙대로22길 100,봉덕3동행정복지센터,128.5959657,35.8424172,2720055000,14773,A1300001,5.033,A1300034,6.2569,A1300002,8.7554,A1300009,7.5037,20241107_010327
대구,남구,이천동,42431,대구광역시 남구 이천로28길 18,이천동행정복지센터,128.5994252,35.8537107,2720051500,12694,A1300002,5.2076,A1300001,6.9462,A1300033,8.3878,A1300009,11.0951,20241107_010328
대구,달서구,감삼동,42644,대구광역시 달서구 감삼북길 119-10,감삼동행정복지센터,128.5421798,35.8510442,2729055500,30432,A1300006,0.5617,A1300110,1.0466,A1300007,4.9841,A1300004,7.8731,20241107_010328
대구,달서구,도원동,42832,대구광역시 달서구 한실로 53,도원동행정복지센터,128.5321772,35.8074544,2729062800,32422,A1300038,7.9437,A1300011,8.1065,A1300045,11.5621,A1300004,16.8059,20241107_010331
대구,달서구,두류1.2동,42664,대구광역시 달서구 두류길 141-8,두류1·2동행정복지센터,128.5672859,35.8577618,2729053500,14432,A1300076,4.8696,A1300004,6.4397,A1300034,6.8486,A1300004,6.4397,20241107_010332
